50nm

fclk 4e9
V_DD 0.6
I_off 200e-6
W_min 100e-9
I_sc 65e-6
r_0 12.5e3
c_p 0.75e-15
c_0 1.2e-15

nlayers 7
layer 6
r 401.3e3
c 106.0e-12

router

11 11

0.0 0.0 0.0 0.0                      0.0 0.0                     0.0 0.0                     0.0 0.0                     0.0 0.0                   0.0 0.0                   0.0 0.0                   0.0 0.0                   0.0 0.0                  0.0 0.0
0.0 0.0	5.2584e-13 1.70993e-13 	 5.48755e-13 2.71951e-13 	 5.7189e-13 3.72909e-13 	 5.95208e-13 4.73867e-13 	 6.18526e-13 5.74825e-13 	 6.41844e-13 6.75784e-13 	 6.65162e-13 7.76742e-13 	 6.8848e-13 8.777e-13 	 7.11799e-13 9.78658e-13 	 7.35117e-13 1.07962e-12 	 
0.0 0.0	9.86393e-13 2.98475e-13 	 1.14928e-12 4.56882e-13 	 1.19555e-12 6.15288e-13 	 1.24218e-12 7.73695e-13 	 1.28882e-12 9.32102e-13 	 1.33546e-12 1.09051e-12 	 1.38209e-12 1.24891e-12 	 1.42873e-12 1.40732e-12 	 1.47536e-12 1.56573e-12 	 1.522e-12 1.72413e-12 	 
0.0 0.0	1.44695e-12 4.25958e-13 	 1.63571e-12 6.41813e-13 	 1.87097e-12 8.57668e-13 	 1.94092e-12 1.07352e-12 	 2.01088e-12 1.28938e-12 	 2.08083e-12 1.50523e-12 	 2.15079e-12 1.72109e-12 	 2.22074e-12 1.93694e-12 	 2.2907e-12 2.1528e-12 	 2.36065e-12 2.36865e-12 	 
0.0 0.0	1.9075e-12 5.53441e-13 	 2.12215e-12 8.26744e-13 	 2.38329e-12 1.10005e-12 	 2.69143e-12 1.37335e-12 	 2.78471e-12 1.64665e-12 	 2.87798e-12 1.91996e-12 	 2.97125e-12 2.19326e-12 	 3.06452e-12 2.46656e-12 	 3.1578e-12 2.73987e-12 	 3.25107e-12 3.01317e-12 	 
0.0 0.0	2.36805e-12 6.80923e-13 	 2.60859e-12 1.01168e-12 	 2.89561e-12 1.34243e-12 	 3.22964e-12 1.67318e-12 	 3.6103e-12 2.00393e-12 	 3.72689e-12 2.33468e-12 	 3.84348e-12 2.66543e-12 	 3.96007e-12 2.99619e-12 	 4.07666e-12 3.32694e-12 	 4.19325e-12 3.65769e-12 	 
0.0 0.0	2.8286e-12 8.08406e-13 	 3.09502e-12 1.19661e-12 	 3.40793e-12 1.58481e-12 	 3.76784e-12 1.97301e-12 	 4.17439e-12 2.36121e-12 	 4.62757e-12 2.74941e-12 	 4.76748e-12 3.13761e-12 	 4.90739e-12 3.52581e-12 	 5.0473e-12 3.91401e-12 	 5.1872e-12 4.30221e-12 	 
0.0 0.0	3.28916e-12 9.35889e-13 	 3.58146e-12 1.38154e-12 	 3.92025e-12 1.82719e-12 	 4.30604e-12 2.27283e-12 	 4.73847e-12 2.71848e-12 	 5.21754e-12 3.16413e-12 	 5.74324e-12 3.60978e-12 	 5.90647e-12 4.05543e-12 	 6.0697e-12 4.50108e-12 	 6.23292e-12 4.94673e-12 	 
0.0 0.0	3.74971e-12 1.06337e-12 	 4.0679e-12 1.56647e-12 	 4.43257e-12 2.06957e-12 	 4.84425e-12 2.57266e-12 	 5.30256e-12 3.07576e-12 	 5.80751e-12 3.57886e-12 	 6.3591e-12 4.08195e-12 	 6.95732e-12 4.58505e-12 	 7.14386e-12 5.08815e-12 	 7.33041e-12 5.59125e-12 	 
0.0 0.0	4.21026e-12 1.19085e-12 	 4.55433e-12 1.7514e-12 	 4.94489e-12 2.31195e-12 	 5.38245e-12 2.87249e-12 	 5.86665e-12 3.43304e-12 	 6.39748e-12 3.99358e-12 	 6.97495e-12 4.55413e-12 	 7.59905e-12 5.11467e-12 	 8.2698e-12 5.67522e-12 	 8.47966e-12 6.23576e-12 	 
0.0 0.0	4.67082e-12 1.31834e-12 	 5.04077e-12 1.93633e-12 	 5.45721e-12 2.55432e-12 	 5.92065e-12 3.17232e-12 	 6.43073e-12 3.79031e-12 	 6.98745e-12 4.40831e-12 	 7.5908e-12 5.0263e-12 	 8.24079e-12 5.64429e-12 	 8.93742e-12 6.26229e-12 	 9.68068e-12 6.88028e-12 	 

0       0       0       0       0       0       0       0       0       0       0
0	1792 	2944 	3520 	4096 	4672 	5248 	5824 	6400 	6976 	7552 	
0	4736 	5888 	7040 	8192 	9344 	10496 	11648 	12800 	13952 	15104 	
0	7104 	8832 	10560 	12288 	14016 	15744 	17472 	19200 	20928 	22656 	
0	9472 	11776 	14080 	16384 	18688 	20992 	23296 	25600 	27904 	30208 	
0	11840 	14720 	17600 	20480 	23360 	26240 	29120 	32000 	34880 	37760 	
0	14208 	17664 	21120 	24576 	28032 	31488 	34944 	38400 	41856 	45312 	
0	16576 	20608 	24640 	28672 	32704 	36736 	40768 	44800 	48832 	52864 	
0	18944 	23552 	28160 	32768 	37376 	41984 	46592 	51200 	55808 	60416 	
0	21312 	26496 	31680 	36864 	42048 	47232 	52416 	57600 	62784 	67968 	
0	23680 	29440 	35200 	40960 	46720 	52480 	58240 	64000 	69760 	75520 	
